,0
MinTemp,5.8146778378248936e-05
MaxTemp,0.001047737322790824
Rainfall,-0.0024606675798659232
Evaporation,-0.0017423223016756703
Sunshine,0.0002512078951292605
WindSpeed9am,-0.002984596923371911
WindSpeed3pm,-0.00023751613269331153
Humidity9am,-0.0010085262813153526
Humidity3pm,0.003566753031344605
Pressure9am,-0.0050357971361985575
Pressure3pm,-0.012098099650313911
Cloud9am,-0.0013238793661357435
Cloud3pm,-0.005521498648882649
Temp9am,0.0015795344792171103
Temp3pm,0.0007861812387849237
RainToday,-0.0011696782681099175
ENE_A,-8.689791390896038e-05
ESE_A,6.157866763789319e-06
E_A,-1.9833200909446677e-05
NE_A,-0.00022233046173621105
NNE_A,0.0008142670454550798
NNW_A,-1.0478483011018904e-05
NW_A,8.583642818482735e-05
N_A,0.0017871109416856532
SE_A,-8.395710224850482e-05
SSE_A,0.00022517149964602115
SSW_A,-0.00022731825346209683
SW_A,0.00021851019200629305
S_A,-9.639106631759265e-05
WNW_A,-0.000363340978803012
WSW_A,-7.031223389453364e-05
W_A,-0.0003074964801921488
ENE_B,6.426034527703078e-06
ESE_B,-4.9200860639997044e-05
E_B,3.844012156062161e-05
NE_B,2.1537399736375074e-05
NNE_B,0.0001685806396617684
NNW_B,-0.00010585079632216146
NW_B,-0.0004256397577579374
N_B,-0.00036512215161561807
SE_B,-4.118421095424059e-06
SSE_B,0.002565833389521552
SSW_B,0.0002599503439987545
SW_B,0.0001238174113583908
S_B,-0.0005868039289634338
WNW_B,-0.00027721763540822003
WSW_B,-7.86861990908605e-05
W_B,-0.0001874260978626476
Spring,-0.0024121452338139553
Summer,-0.001768232096464882
Autumn,-0.00012412396758106395
Winter,-7.131564547307789e-05
